opening_hours,TotalHours
"{""open"": true, ""displayedHours"": ""10:30-21:30"", ""sun"": ""10:30-21:30"", ""mon"": ""10:30-21:15"", ""tue"": ""10:30-21:15"", ""wed"": ""10:30-21:15"", ""thu"": ""10:30-21:15"", ""fri"": ""10:30-21:15"", ""sat"": ""10:30-21:30""}",86.75
"{""open"": true, ""displayedHours"": ""12:00-19:00"", ""sun"": ""12:00-19:00"", ""mon"": ""12:00-19:00"", ""tue"": ""12:00-19:00"", ""wed"": ""12:00-19:00"", ""thu"": ""12:00-19:00"", ""fri"": ""12:00-19:00"", ""sat"": ""12:00-19:00""}",56.0
"{""open"": true, ""displayedHours"": ""11:30-20:45"", ""sun"": ""11:30-20:45"", ""mon"": ""11:30-20:45"", ""tue"": ""11:30-20:45"", ""wed"": ""11:30-20:45"", ""thu"": ""11:30-20:45"", ""fri"": ""11:30-20:45"", ""sat"": ""11:30-20:45""}",74.0
"{""open"": true, ""displayedHours"": ""11:00-21:00"", ""sun"": ""11:00-21:00"", ""mon"": ""11:00-21:00"", ""tue"": ""11:00-21:00"", ""wed"": ""11:00-21:00"", ""thu"": ""11:00-21:00"", ""fri"": ""11:00-21:00"", ""sat"": ""11:00-21:00""}",80.0
"{""open"": true, ""displayedHours"": ""10:30-21:00"", ""sun"": ""11:00-21:30"", ""mon"": ""11:00-21:30"", ""tue"": ""11:00-21:30"", ""wed"": ""11:00-21:30"", ""thu"": ""11:00-21:30"", ""fri"": ""11:00-21:30"", ""sat"": ""11:00-21:30""}",84.0
"{""open"": true, ""displayedHours"": ""11:00-22:00"", ""sun"": ""11:00-22:00"", ""mon"": ""12:00-21:20"", ""tue"": ""12:00-21:20"", ""wed"": ""12:00-21:30"", ""thu"": ""12:00-21:20"", ""fri"": ""11:00-21:50"", ""sat"": ""11:00-22:00""}",81.33333333333334
"{""open"": true, ""displayedHours"": ""09:00-21:45"", ""sun"": ""10:30-21:45"", ""mon"": ""10:30-21:45"", ""tue"": ""10:30-21:45"", ""wed"": ""10:30-21:45"", ""thu"": ""10:30-21:45"", ""fri"": ""10:30-21:45"", ""sat"": ""09:00-21:45""}",93.0
"{""open"": true, ""displayedHours"": ""10:30-21:00"", ""sun"": ""10:30-21:00"", ""mon"": ""10:30-21:00"", ""tue"": ""10:30-21:00"", ""wed"": ""10:30-21:00"", ""thu"": ""10:30-21:00"", ""fri"": ""10:30-21:00"", ""sat"": ""10:30-21:00""}",84.0
"{""open"": true, ""displayedHours"": ""10:00-21:30"", ""sun"": ""10:00-21:30"", ""mon"": ""10:00-21:30"", ""tue"": ""10:00-21:30"", ""wed"": ""10:00-21:30"", ""thu"": ""10:00-21:30"", ""fri"": ""10:00-21:30"", ""sat"": ""10:00-21:30""}",92.0
"{""open"": true, ""displayedHours"": ""11:00-21:00"", ""sun"": ""11:00-21:00"", ""mon"": ""11:00-21:00"", ""tue"": ""11:00-21:00"", ""wed"": ""11:00-21:00"", ""thu"": ""11:00-21:00"", ""fri"": ""11:00-21:00"", ""sat"": ""11:00-21:00""}",80.0
"{""open"": true, ""displayedHours"": ""11:00-22:00"", ""sun"": ""11:00-22:00"", ""mon"": ""11:00-22:00"", ""tue"": ""11:00-22:00"", ""wed"": ""11:00-22:00"", ""thu"": ""11:00-22:00"", ""fri"": ""11:00-22:00"", ""sat"": ""11:00-22:00""}",88.0
"{""open"": true, ""displayedHours"": ""10:30-21:00"", ""sun"": ""10:30-21:00"", ""mon"": ""10:30-21:00"", ""tue"": ""10:30-21:00"", ""wed"": ""10:30-21:00"", ""thu"": ""10:30-21:00"", ""fri"": ""10:30-21:00"", ""sat"": ""10:30-21:00""}",84.0
"{""open"": true, ""displayedHours"": ""11:00-21:00"", ""sun"": ""11:00-20:30"", ""mon"": ""11:30-20:50"", ""tue"": ""11:30-20:50"", ""wed"": ""11:30-20:50"", ""thu"": ""11:30-20:50"", ""fri"": ""11:30-21:00"", ""sat"": ""11:00-21:00""}",76.33333333333334
"{""open"": true, ""displayedHours"": ""10:00-21:00"", ""sun"": ""10:00-21:00"", ""mon"": ""10:00-21:00"", ""tue"": ""10:00-21:00"", ""wed"": ""10:00-21:00"", ""thu"": ""10:00-21:00"", ""fri"": ""10:00-21:00"", ""sat"": ""10:00-21:00""}",88.0
"{""open"": true, ""displayedHours"": ""11:00-21:30"", ""sun"": ""11:00-21:30"", ""mon"": ""11:00-21:30"", ""tue"": ""11:00-21:30"", ""wed"": ""11:00-21:30"", ""thu"": ""11:00-21:30"", ""fri"": ""11:00-21:30"", ""sat"": ""11:00-21:30""}",84.0
"{""open"": true, ""displayedHours"": ""11:00-21:30"", ""sun"": ""11:00-21:30"", ""mon"": ""11:00-21:30"", ""tue"": ""11:00-21:30"", ""wed"": ""11:00-21:30"", ""thu"": ""11:00-21:30"", ""fri"": ""11:00-21:30"", ""sat"": ""11:00-21:30""}",84.0
"{""open"": true, ""displayedHours"": ""09:00-21:30"", ""sun"": ""09:00-21:30"", ""mon"": ""09:00-21:30"", ""tue"": ""09:00-21:30"", ""wed"": ""09:00-21:30"", ""thu"": ""09:00-21:30"", ""fri"": ""09:00-21:30"", ""sat"": ""09:00-21:30""}",100.0
"{""open"": true, ""displayedHours"": ""11:30-15:00 15:00-20:30"", ""sun"": ""11:30-15:30 17:30-21:00"", ""mon"": ""11:30-14:00 17:30-21:00"", ""tue"": ""11:30-14:00 17:30-21:00"", ""wed"": ""11:30-14:00 17:30-21:00"", ""thu"": ""11:30-14:00 17:30-21:00"", ""fri"": ""11:30-14:00 17:30-21:00"", ""sat"": ""11:30-15:30 17:30-21:00""}",54.0
"{""open"": true, ""displayedHours"": ""11:00-19:30"", ""sun"": ""11:00-19:30"", ""mon"": ""11:00-19:30"", ""tue"": ""11:00-19:30"", ""wed"": ""11:00-19:30"", ""thu"": ""11:00-19:30"", ""fri"": ""11:00-19:30"", ""sat"": ""11:00-19:30""}",68.0
"{""open"": true, ""displayedHours"": ""11:00-21:30"", ""sun"": ""11:00-21:30"", ""mon"": ""11:00-21:30"", ""tue"": ""11:00-21:30"", ""wed"": ""11:00-21:30"", ""thu"": ""11:00-21:30"", ""fri"": ""11:00-21:30"", ""sat"": ""11:00-21:30""}",84.0
"{""open"": true, ""displayedHours"": ""11:00-19:30"", ""sun"": ""11:00-19:30"", ""mon"": ""11:00-19:30"", ""tue"": ""11:00-19:30"", ""wed"": ""11:00-19:30"", ""thu"": ""11:00-19:30"", ""fri"": ""11:00-19:30"", ""sat"": ""11:00-19:30""}",68.0
"{""open"": true, ""displayedHours"": ""11:00-21:00"", ""sun"": ""11:00-21:00"", ""mon"": ""11:00-21:00"", ""tue"": ""11:00-21:00"", ""wed"": ""11:00-21:00"", ""thu"": ""11:00-21:00"", ""fri"": ""11:00-21:00"", ""sat"": ""11:00-21:00""}",80.0
"{""open"": true, ""displayedHours"": ""10:30-21:00"", ""sun"": ""10:30-21:00"", ""mon"": ""10:30-21:00"", ""tue"": ""10:30-21:00"", ""wed"": ""10:30-21:00"", ""thu"": ""10:30-21:00"", ""fri"": ""10:30-21:00"", ""sat"": ""10:30-21:00""}",84.0
